"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "JSON", "Shell Script", "Prisma", "Markdown", "comment", "blank", "total"
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/app/not-found.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/app/sitemap.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/post-hog-provider.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/avatar.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/badge.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/button.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/card.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 11, 101
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/form.tsx", "TypeScript JSX", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 25, 168
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/input.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/label.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/resizable-navbar.tsx", "TypeScript JSX", 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 23, 259
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/select.tsx", "TypeScript JSX", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 14, 211
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/separator.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/sheet.tsx", "TypeScript JSX", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 14, 131
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/sidebar.tsx", "TypeScript JSX", 0, 628, 0, 0, 0, 0, 0, 0, 0, 12, 55, 695
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/skeleton.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/sonner.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/testimonial.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/textarea.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/components/ui/tooltip.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 8, 69
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/env.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 37
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/hooks/use-mobile.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/hooks/use-mutation-toast.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 2, 42
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/lib/globals.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 89
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/lib/posthog.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/server/api/responses.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/server/api/root.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/server/api/routers/email.router.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/server/api/schemas/email.schema.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/server/api/trpc.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 96
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/server/auth/config.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/server/auth/index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/server/db.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/server/templates/sign-in.ts", "TypeScript", 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 856
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/styles/globals.css", "CSS", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 7, 127
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/trpc/query-client.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 26
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/trpc/react.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 12, 12, 79
"/Users/maxchamberlain/Documents/GitHub/max-integrations/src/trpc/server.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 31
"/Users/maxchamberlain/Documents/GitHub/max-integrations/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 4, 43
"Total", "-", 1366, 3877, 120, 66, 64, 3999, 39, 49, 33, 55, 462, 10130
